INSTRUMENT_KEY,L22
CTD: NEIL BROWN SMART CTD,SDN:L22::TOOL0033
"CTD: NEIL BROWN, MODEL UNKNOWN",SDN:L22::TOOL0001
CTD: NEIL BROWN/GENERAL OCEANICS MARK IIIC,SDN:L22::TOOL0001
CTD: OCEAN CASSETTE,SDN:L22::TOOL0001
CTD: OCEAN DATA EQUIPMENT (ODE) 302 CSTD,SDN:L22::TOOL0001
CTD: OCEAN SENSORS OS200,SDN:L22::TOOL0001
"CTD: OCEAN-2 (Shirshov IO, Russia)",SDN:L22::TOOL0001
"CTD: OCEAN-3 (Shirshov IO, Russia)",SDN:L22::TOOL0001
"CTD: OLT profiler (MHI, Ukraine)",SDN:L22::TOOL0001
"CTD: OM-87 (Institut fuer Meereskunde Warnemuende, Germany)",SDN:L22::TOOL0001
CTD: PLESSEY 9006,SDN:L22::TOOL0006
CTD: PLESSEY 9040,SDN:L22::TOOL0005
CTD: PLESSEY 9041,SDN:L22::TOOL0001
CTD: PLESSEY 9060,SDN:L22::TOOL0001
CTD: PLESSEY 9400,SDN:L22::TOOL0009
"CTD: PLESSEY, MODEL UNKNOWN",SDN:L22::TOOL0001
"CTD: PLESSEY/GRUNDY, MODEL UNKNOWN (Notice Grundy is new Plessey name)",SDN:L22::TOOL0001
CTD: RBRlegato^3 C.T.D. (RBR Ltd.),SDN:L22::TOOL1745
"CTD: SBE 102 (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0001
"CTD: SBE 16 SEACAT C-T Recorder (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0023
"CTD: SBE 19 SEACAT profiler (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0042
"CTD: SBE 19plus SEACAT profiler (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0047
"CTD: SBE 19plus V2 SeaCAT Profiler (Sea-Bird Electronics, Inc.)'",SDN:L22::TOOL0871
"CTD: SBE 25 SEALOGGER (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0040
"CTD: SBE 37-IM MicroCAT (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL1450
"CTD: SBE 37-IM/IMP/IMP-ODO MicroCAT (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL1545
"CTD: SBE 39 Temperature (& Pressure) Recorder (Sea-Bird Electronics,",SDN:L22::TOOL0266
CTD: SBE 41/41CP (Sea-Bird CTD Module for Autonomous Profiling Floats),SDN:L22::TOOL0669
"CTD: SBE 911 (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0035
"CTD: SBE 911plus (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0058
"CTD: SBE 9s (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0001
"CTD: Sea-Bird Electronics, MODEL UNKNOWN",SDN:L22::TOOL0001
"CTD: SEACAT, TYPE UNKNOWN (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0001
"CTD: ShIK-01 (MHI, Ukraine)",SDN:L22::TOOL0001
"CTD: ShIK-02 (MHI, Ukraine)",SDN:L22::TOOL0001
CTD: Transmissometer: SeaTech 25-cm pathlength 660 nm wavelength (Beam C),SDN:L22::TOOL0003
CTD: Transmissometer: SeaTech 5.0 cm 660 nm wavelength,SDN:L22::TOOL0003
CTD: TSK-original CTD sensor (TSK - TSURUMI SEIKI Co.),SDN:L22::TOOL0001
CTD: TYPE UNKNOWN,SDN:L22::TOOL0001
CTD: UnderwayCTD (Oceanscience),SDN:L22::TOOL1847
CTD: ZOND-BATHOMETER,SDN:L22::TOOL0001
"DBT: SBE 39 Temperature (& Pressure) Recorder (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0266
In-Situ: Automated dissolved oxygen sensor: Aanderaa Oxygen Optode 3830/3835,SDN:L22::TOOL0836
In-Situ: Automated dissolved oxygen sensor: Aanderaa Oxygen Optode 3830/3835,SDN:L22::TOOL0103
In-Situ: Automated dissolved oxygen sensor: Aanderaa Oxygen Optode 3975,SDN:L22::TOOL0369
In-Situ: Automated dissolved oxygen sensor: Aanderaa Oxygen Optode 4330/4330F,SDN:L22::TOOL0826
In-Situ: Automated dissolved oxygen sensor: Aanderaa Oxygen Optode 4831/4831F,SDN:L22::TOOL1239
In-Situ: Automated dissolved oxygen sensor: Aanderaa Oxygen Optode 4831/4831F,SDN:L22::TOOL1240
In-Situ: Automated dissolved oxygen sensor: SBE 13 dissolved oxygen sensor,SDN:L22::TOOL0039
In-Situ: Automated dissolved oxygen sensor: SBE 43 dissolved oxygen sensor Clark polarographic membrane,SDN:L22::TOOL0036
"In-Situ: Automated phosphorescent dissolved oxygen sensor: RINKO AROD-FT (JFE Advantech Co., Ltd.)",SDN:L22::TOOL1783
"In-Situ: Automated phosphorescent dissolved oxygen sensor: RINKO II (JFE Advantech Co., Ltd.)",SDN:L22::TOOL1590
MBT: MBT: TYPE UNKNOWN,SDN:L22::TOOL1287
STD: 9040 STD (UNKNOWN BRAND),SDN:L22::TOOL0001
STD: 9060 STD (UNKNOWN BRAND),SDN:L22::TOOL0001
STD: AML STD-12 (aka AML CTD-12),SDN:L22::TOOL0041
STD: APMCRO 12,SDN:L22::TOOL0001
STD: APPLIED MICROSYSTEMS 12 PLUS,SDN:L22::TOOL0433
STD: ED 9071,SDN:L22::TOOL0001
"STD: InterOcean Systems, Inc. Model 513-10 CSTD",SDN:L22::TOOL0001
"STD: InterOcean Systems, Inc. T-S Bridge",SDN:L22::TOOL0001
STD: PLESSEY 8400,SDN:L22::TOOL0001
STD: PLESSEY 9006,SDN:L22::TOOL0006
STD: PLESSEY 9040,SDN:L22::TOOL0005
STD: PLESSEY 9041,SDN:L22::TOOL0001
STD: SALINOMETER GM 65,SDN:L22::TOOL0001
STD: SUBMARINE OCEANOGRAPHIC DIGITAL DATA SYSTEM (U.S. NAVY),SDN:L22::TOOL0001
STD: TYPE UNKNOWN,SDN:L22::TOOL0001
UNDERWAY: MK3 data recording tag (Wildlife Computers) mounted on elephant seal,SDN:L22::TOOL2126
"UNDERWAY: SEACAT Thermosalinograph SBE 21 (Sea-Bird Electronics, Inc.)",SDN:L22::TOOL0667
XBT: AXBT (UNKNOWN BRAND AND TYPE),SDN:L22::TOOL1291
XBT: AXBT A-A/3 (SPARTON),SDN:L22::TOOL1291
XBT: DEEP BLUE (SIPPICAN),SDN:L22::TOOL0715
"XBT: DEEP BLUE, UNKNOWN BRAND",SDN:L22::TOOL1291
XBT: FAST DEEP (SIPPICAN),SDN:L22::TOOL1290
"XBT: FAST DEEP, UNKNOWN BRAND",SDN:L22::TOOL1291
XBT: SUBMARINE-LAUNCHED EXPENDABLE BATHYTHERMOGRAPH (SSXBT) (SIPPICAN),SDN:L22::TOOL1291
XBT: T10 (SIPPICAN),SDN:L22::TOOL0718
XBT: T10 (TSK - TSURUMI SEIKI Co.),SDN:L22::TOOL1291
XBT: T10 (UNKNOWN BRAND),SDN:L22::TOOL1291
XBT: T11 (SIPPICAN),SDN:L22::TOOL0716
XBT: T11 (UNKNOWN BRAND),SDN:L22::TOOL1291
XBT: T4 (SIPPICAN),SDN:L22::TOOL0435
XBT: T4 (TSK - TSURUMI SEIKI Co.),SDN:L22::TOOL1291
XBT: T4 (UNKNOWN BRAND),SDN:L22::TOOL1291
XBT: T5 (SIPPICAN),SDN:L22::TOOL0262
XBT: T5 (TSK - TSURUMI SEIKI Co.),SDN:L22::TOOL1291
XBT: T5 (UNKNOWN BRAND),SDN:L22::TOOL1291
XBT: T6 (SIPPICAN),SDN:L22::TOOL0717
XBT: T6 (TSK - TSURUMI SEIKI Co.),SDN:L22::TOOL1291
XBT: T6 (UNKNOWN BRAND),SDN:L22::TOOL1291
XBT: T7 (SIPPICAN),SDN:L22::TOOL0263
XBT: T7 (TSK - TSURUMI SEIKI Co.),SDN:L22::TOOL1291
XBT: T7 (UNKNOWN BRAND),SDN:L22::TOOL1291
XBT: TYPE UNKNOWN,SDN:L22::TOOL1291
XBT: XBT-1 (SPARTON),SDN:L22::TOOL1381
XBT: XBT-10 (SPARTON),SDN:L22::TOOL1387
XBT: XBT-20 (SPARTON),SDN:L22::TOOL1388
XBT: XBT-3 (SPARTON),SDN:L22::TOOL1382
XBT: XBT-4 (SPARTON),SDN:L22::TOOL1383
XBT: XBT-5 (SPARTON),SDN:L22::TOOL1384
XBT: XBT-6 (SPARTON),SDN:L22::TOOL1385
XBT: XBT-7 (SPARTON),SDN:L22::TOOL1386
XCTD: AXCTD (SIPPICAN),SDN:L22::TOOL0714
